504 504 2170
0;0;3.581845e+08
0;8;-3.401355e+05
0;105;-1.230507e+08
0;117;-1.845760e+08
0;243;5.812770e+04
0;244;-6.249326e+06
0;255;-6.249326e+06
0;259;-4.999460e+07
0;486;2.551016e+05
1;1;7.404246e+08
1;9;-3.401355e+05
1;106;-3.401355e+05
1;110;-2.551016e+05
1;118;-1.129024e+06
1;121;5.645121e+05
1;242;-1.432519e+04
1;244;3.094105e+05
1;260;-7.383040e+08
1;485;-2.551016e+05
2;2;3.581845e+08
2;10;-3.401355e+05
2;99;-1.230507e+08
2;113;-1.845760e+08
2;206;6.249326e+06
2;210;-4.999460e+07
2;245;6.249326e+06
2;246;5.812770e+04
2;480;2.551016e+05
3;3;7.404246e+08
3;11;-3.401355e+05
3;100;-3.401355e+05
3;104;-2.551016e+05
3;111;5.645121e+05
3;112;-1.129024e+06
3;207;-7.383040e+08
3;245;3.094105e+05
3;247;-1.432519e+04
3;482;-2.551016e+05
4;4;2.351338e+08
4;12;-3.401355e+05
4;79;5.812770e+04
4;80;6.249326e+06
4;149;-4.999460e+07
4;150;6.249326e+06
4;199;-1.845760e+08
4;497;2.551016e+05
5;5;7.400845e+08
5;13;-3.401355e+05
5;78;-1.432519e+04
5;80;-5.645121e+05
5;148;-7.383040e+08
5;203;-1.129024e+06
5;204;-5.645121e+05
5;495;-2.551016e+05
6;6;1.813388e+08
6;71;2.073389e+06
6;76;-8.293558e+06
6;99;-4.999460e+07
6;104;-6.249326e+06
6;156;-4.175936e+06
6;210;-1.230507e+08
7;7;1.107796e+09
7;75;-3.691520e+08
7;100;-7.383040e+08
7;156;2.551016e+05
7;206;2.551016e+05
7;207;-3.401355e+05
8;8;3.583015e+08
8;20;-3.401355e+05
8;143;-1.845760e+08
8;167;-4.999460e+07
8;168;-6.249326e+06
8;243;-2.551016e+05
8;346;2.551016e+05
8;474;-1.230507e+08
8;487;-6.249326e+06
9;9;7.404534e+08
9;21;-3.401355e+05
9;141;-1.129024e+06
9;142;5.645121e+05
9;163;-7.383040e+08
9;242;2.551016e+05
9;345;-2.551016e+05
9;475;-3.401355e+05
9;479;-2.551016e+05
